# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Mapping from ISO-alpha3 country codes to Wirsenius (2000) regions.
#
# Source: Wirsenius, S. (2000). Human Use of Land and Organic Materials:
# Modeling the Turnover of Biomass in the Global Food System.
# Chalmers University of Technology and Göteborg University, Sweden.
# Table 2.1, ISBN 91-7197-886-0.
#
# Note: Wirsenius regional definitions differ from UN M49 regions in some cases:
# - Greece classified as East Europe (not Southern Europe)
# - Balkans (Albania, Croatia, Slovenia, etc.) classified as East Europe
# - Iran classified as South & Central Asia (not Western Asia)
# - Southeast Asian countries classified as East Asia
#
country,wirsenius_region
# Northern Africa -> North Africa & West Asia
DZA,North Africa & West Asia
EGY,North Africa & West Asia
LBY,North Africa & West Asia
MAR,North Africa & West Asia
SDN,North Africa & West Asia
TUN,North Africa & West Asia
ESH,North Africa & West Asia
# Sub-Saharan Africa -> Sub-Saharan Africa
IOT,Sub-Saharan Africa
BDI,Sub-Saharan Africa
COM,Sub-Saharan Africa
DJI,Sub-Saharan Africa
ERI,Sub-Saharan Africa
ETH,Sub-Saharan Africa
ATF,Sub-Saharan Africa
KEN,Sub-Saharan Africa
MDG,Sub-Saharan Africa
MWI,Sub-Saharan Africa
MUS,Sub-Saharan Africa
MYT,Sub-Saharan Africa
MOZ,Sub-Saharan Africa
REU,Sub-Saharan Africa
RWA,Sub-Saharan Africa
SYC,Sub-Saharan Africa
SOM,Sub-Saharan Africa
SSD,Sub-Saharan Africa
UGA,Sub-Saharan Africa
TZA,Sub-Saharan Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
AGO,Sub-Saharan Africa
CMR,Sub-Saharan Africa
CAF,Sub-Saharan Africa
TCD,Sub-Saharan Africa
COG,Sub-Saharan Africa
COD,Sub-Saharan Africa
GNQ,Sub-Saharan Africa
GAB,Sub-Saharan Africa
STP,Sub-Saharan Africa
BWA,Sub-Saharan Africa
SWZ,Sub-Saharan Africa
LSO,Sub-Saharan Africa
NAM,Sub-Saharan Africa
ZAF,Sub-Saharan Africa
BEN,Sub-Saharan Africa
BFA,Sub-Saharan Africa
CPV,Sub-Saharan Africa
CIV,Sub-Saharan Africa
GMB,Sub-Saharan Africa
GHA,Sub-Saharan Africa
GIN,Sub-Saharan Africa
GNB,Sub-Saharan Africa
LBR,Sub-Saharan Africa
MLI,Sub-Saharan Africa
MRT,Sub-Saharan Africa
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
SHN,Sub-Saharan Africa
SEN,Sub-Saharan Africa
SLE,Sub-Saharan Africa
TGO,Sub-Saharan Africa
# Latin America and the Caribbean -> Latin America & Caribbean
AIA,Latin America & Caribbean
ATG,Latin America & Caribbean
ABW,Latin America & Caribbean
BHS,Latin America & Caribbean
BRB,Latin America & Caribbean
BES,Latin America & Caribbean
VGB,Latin America & Caribbean
CYM,Latin America & Caribbean
CUB,Latin America & Caribbean
