# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
#
# Ash content (% on dry matter basis) for modelled feed entities
#
# Based on: https://www.feedtables.com/content/ash
#
# Columns:
#   - model_entity: Name of entity in model
#   - ash_content_pct_dm: Ash content as percentage of dry matter
#   - source_feed: Feed name from feedtables.com used for this value
#   - notes: Matching rationale
#
feed,ash_content_pct_dm,source_feed,notes
alfalfa,12.0,"Alfalfa, dehydrated, protein 16-18% dry matter",Representative alfalfa hay/silage
banana,4.6,"Bananas, immature, dried",Banana fruit
banana-stem,4.6,"Bananas, immature, dried",No specific match - using banana fruit as proxy
barley,2.5,Barley,Barley grain
barley-straw,6.6,Wheat straw,No barley straw in table - wheat straw as proxy for cereal straw
cassava,4.0,Cassava pulp dried,Cassava roots
dry-pea,3.5,Pea,Pea/legume grain
grassland,8.6,"Grass, dehydrated",Grass hay/fresh grass
maize,1.4,Maize,Maize grain
maize-stover,6.6,Wheat straw,No maize stover - using wheat straw as cereal residue proxy
millet-stover,6.6,Wheat straw,No millet stover - using wheat straw as cereal residue proxy
pearl-millet,2.8,"Millet, pearl",Pearl millet grain
pulse-straw,6.6,Wheat straw,No pulse straw - using wheat straw as general crop residue proxy
rapeseed,4.3,"Rapeseed, whole",Rapeseed whole seeds
rapeseed-meal,7.6,"Rapeseed meal, oil < 5%",Rapeseed/canola meal
rice-straw,6.6,Wheat straw,No rice straw - using wheat straw as cereal residue proxy
silage-maize,1.4,Maize,Using maize grain as proxy for whole plant silage
sorghum,2.1,Sorghum,Sorghum grain
biomass-sorghum,2.1,Sorghum,Using grain sorghum ash as closest available entry on feedtables.com
sorghum-stover,6.6,Wheat straw,No sorghum stover - using wheat straw as cereal residue proxy
soybean,5.7,"Soybean, whole, extruded",Soybean grain
soybean-oil,0.0,Soybean oil,Soybean oil (processed)
sugarbeet,10.6,"Fodder beet, raw",Sugar beet roots (on DM basis)
sugarcane-tops,6.6,Wheat straw,No sugarcane tops - using wheat straw as general plant residue proxy
sunflower-meal,7.2,"Sunflower meal, oil < 5%, dehulled",Sunflower seed meal
wetland-rice,1.0,"Rice, polished, broken",Polished rice grain
wheat,1.8,"Wheat, soft",Wheat grain
wheat-bran,5.6,Wheat bran,Wheat bran
wheat-straw,6.6,Wheat straw,Wheat straw
