# Feed requirements for animal products
# Each row specifies feed input → animal product output conversion
# Mock values - should be replaced with actual feed conversion ratios
product,feed_category,efficiency,notes
cattle meat,ruminant_roughage,0.12,"Mock extensive grazing on low-quality roughage/crop residues: ~8.3 t DM per tonne carcass"
cattle meat,ruminant_forage,0.15,"Mock grass-fed beef on pasture: ~6.7 t DM forage per tonne carcass weight"
cattle meat,ruminant_grain,0.20,"Mock grain-finished beef: ~5.0 t DM grain per tonne carcass weight"
cattle meat,ruminant_protein,0.22,"Mock high-quality protein-supplemented beef: ~4.5 t DM per tonne carcass"
pig meat,monogastric_low_quality,0.28,"Mock low-quality feed system: ~3.6 t DM per tonne carcass weight"
pig meat,monogastric_grain,0.33,"Mock standard grain-based system: ~3.0 t feed per tonne carcass weight"
pig meat,monogastric_energy,0.36,"Mock high-energy optimized system: ~2.8 t DM per tonne carcass"
pig meat,monogastric_protein,0.38,"Mock protein-optimized system: ~2.6 t DM per tonne carcass"
chicken meat,monogastric_grain,0.40,"Mock standard grain-based broiler: ~2.5 t feed per tonne dressed weight"
chicken meat,monogastric_energy,0.42,"Mock high-energy broiler system: ~2.4 t DM per tonne dressed weight"
chicken meat,monogastric_protein,0.45,"Mock protein-optimized broiler: ~2.2 t DM per tonne dressed weight"
dairy,ruminant_roughage,0.60,"Mock extensive low-input dairy on roughage: ~1.7 t DM per tonne milk equivalent"
dairy,ruminant_forage,0.70,"Mock grass-based dairy: ~1.4 t DM per tonne milk equivalent"
dairy,ruminant_grain,0.90,"Mock grain-supplemented dairy: ~1.1 t DM per tonne milk equivalent"
dairy,ruminant_protein,0.95,"Mock high-quality supplemented dairy: ~1.05 t DM per tonne milk equivalent"
eggs,monogastric_grain,0.45,"Mock standard grain-based layers: ~2.2 t feed per tonne eggs"
eggs,monogastric_energy,0.48,"Mock high-energy layer system: ~2.1 t DM per tonne eggs"
eggs,monogastric_protein,0.50,"Mock protein-optimized layers: ~2.0 t DM per tonne eggs"
