# SPDX-FileCopyrightText: 2025 FAO
#
# SPDX-License-Identifier: CC-BY-4.0
#
# Reproduction of GLEAM 3 input data, retrieved from the GLEAM 3 dashboard (https://foodandagricultureorganization.shinyapps.io/GLEAMV3_Public/)
area,animal,lps,aerobic lagoon,aerobic processing,biogas,burned,compost,confinement,daily spread,deep litter 1,drylot,lagoon,liquid,liquid crust,liquid other,litter,manure without litter,pasture & paddock,pit 1 (<2 months),pit 2 (>2months),solid,thermal drying
World,Buffalo,Grassland,0,0,0,10.6,0,0,0.00494,0,6.05,0,1.01,0,0,0,0,76.1,0,0,6.28,0
World,Buffalo,Mixed,0,0,0,12.4,0,0,0.00113,0,50.1,0,3.65,0,0,0,0,22.2,0,0,11.7,0
World,Cattle,Grassland,0,0,0.0313,4.06,0.062,0.00844,0.352,0,10.5,0.12,6.37,0,0.000176,0,0,65.7,0,0.00199,12.7,0
World,Cattle,Mixed,0.0265,0.221,0.975,3.04,0.92,0.0713,0.0441,0.0000234,33.4,0.862,3.47,3.11,0.00722,0,0,38.7,0,0.0318,15.1,0
World,Chickens,Backyard,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0
World,Chickens,Broiler,0,0,1.02,0,4.13,0.0139,0.267,0,2.67,0,0.0193,0.136,0,89.1,0,0.868,0,0,1.73,0.00285
World,Chickens,Layer,0,0,0.409,0,3.78,0,5.74,0,4.61,1.61,14.2,14,0,0.959,0.674,6,3.03,28.5,16.4,0.0344
World,Goats,Grassland,0,0,0,0,0,0,0,0,10.9,0,0.0000223,0,0,0,0,77.3,0,0,11.8,0
World,Goats,Mixed,0,0.0195,0.0465,0,0.563,0,0,0.024,7.63,0.00864,0.026,0.0316,0,0,65.9,0,0,25.7,0
World,Pigs,Backyard,0,0,4.34,0,0.989,0,6.36,0,12.6,4.22,13.2,13.2,0,0,7.22,12.9,4.2,20.7,0
World,Pigs,Industrial,0.391,0.938,5.4,0,2.06,0,0.602,0.0313,14.9,12.3,16,24.4,0.234,0,0,5.95,3.31,2.36,11.1,0
World,Pigs,Intermediate,0.0627,0.516,10.8,0,2.02,0,1.27,0.00288,26.3,15.6,12.8,13.3,0.0106,0,0,0.83,3.61,1.15,11.7,0
World,Sheep,Grassland,0,0,0,0,0,0,0,0,16.1,0,0.00894,0,0,0,0,73.2,0,0,10.7,0
World,Sheep,Mixed,0,0.092,0.22,0,2.68,0,0,0.088,15.5,0.0408,0.123,0.149,0,0,64.9,0,0,16.3,0
