food,nutrient,unit,value
apple,cal,kcal/100g,52.1
apple,carb,g/100g,13.81
apple,fat,g/100g,0.17
apple,protein,g/100g,0.26
banana,cal,kcal/100g,88.67
banana,carb,g/100g,22.84
banana,fat,g/100g,0.33
banana,protein,g/100g,1.09
barley-hulled,cal,kcal/100g,353.97
barley-hulled,carb,g/100g,73.48
barley-hulled,fat,g/100g,2.3
barley-hulled,protein,g/100g,12.48
buckwheat,cal,kcal/100g,342.97
buckwheat,carb,g/100g,71.5
buckwheat,fat,g/100g,3.4
buckwheat,protein,g/100g,13.25
cabbage,cal,kcal/100g,24.62
cabbage,carb,g/100g,5.8
cabbage,fat,g/100g,0.1
cabbage,protein,g/100g,1.28
carrot,cal,kcal/100g,41.35
carrot,carb,g/100g,9.58
carrot,fat,g/100g,0.24
carrot,protein,g/100g,0.93
cassava,cal,kcal/100g,159.42
cassava,carb,g/100g,38.06
cassava,fat,g/100g,0.28
cassava,protein,g/100g,1.36
chickpea,cal,kcal/100g,377.87
chickpea,carb,g/100g,62.95
chickpea,fat,g/100g,6.04
chickpea,protein,g/100g,20.47
citrus,cal,kcal/100g,47.08
citrus,carb,g/100g,11.75
citrus,fat,g/100g,0.12
citrus,protein,g/100g,0.94
coconut,cal,kcal/100g,353.97
coconut,carb,g/100g,15.23
coconut,fat,g/100g,33.49
coconut,protein,g/100g,3.33
cowpea,cal,kcal/100g,336.04
cowpea,carb,g/100g,60.03
cowpea,fat,g/100g,1.26
cowpea,protein,g/100g,23.52
dairy,cal,kcal/100g,60.71
dairy,carb,g/100g,4.8
dairy,fat,g/100g,3.25
dairy,protein,g/100g,3.15
dairy-buffalo,cal,kcal/100g,96.56
dairy-buffalo,carb,g/100g,5.18
dairy-buffalo,fat,g/100g,6.89
dairy-buffalo,protein,g/100g,3.75
dry-pea,cal,kcal/100g,363.53
dry-pea,carb,g/100g,61.63
dry-pea,fat,g/100g,3.89
dry-pea,protein,g/100g,23.12
eggs,cal,kcal/100g,143.16
eggs,carb,g/100g,0.72
eggs,fat,g/100g,9.51
eggs,protein,g/100g,12.56
flour-white,cal,kcal/100g,364.01
flour-white,carb,g/100g,76.31
flour-white,fat,g/100g,0.98
flour-white,protein,g/100g,10.33
flour-wholemeal,cal,kcal/100g,332.46
flour-wholemeal,carb,g/100g,74.48
flour-wholemeal,fat,g/100g,1.95
flour-wholemeal,protein,g/100g,9.61
foxtail-millet,cal,kcal/100g,378.11
foxtail-millet,carb,g/100g,72.85
foxtail-millet,fat,g/100g,4.22
foxtail-millet,protein,g/100g,11.02
gram,cal,kcal/100g,377.87
gram,carb,g/100g,62.95
gram,fat,g/100g,6.04
gram,protein,g/100g,20.47
groundnut,cal,kcal/100g,567.4
groundnut,carb,g/100g,16.13
groundnut,fat,g/100g,49.24
groundnut,protein,g/100g,25.8
maize,cal,kcal/100g,364.96
maize,carb,g/100g,74.26
maize,fat,g/100g,4.74
maize,protein,g/100g,9.42
meat-cattle,cal,kcal/100g,214.63
meat-cattle,carb,g/100g,0.0
meat-cattle,fat,g/100g,15.0
meat-cattle,protein,g/100g,18.59
meat-chicken,cal,kcal/100g,119.74
meat-chicken,carb,g/100g,0.0
meat-chicken,fat,g/100g,2.62
meat-chicken,protein,g/100g,22.5
meat-pig,cal,kcal/100g,122.85
meat-pig,carb,g/100g,0.0
meat-pig,fat,g/100g,3.09
meat-pig,protein,g/100g,23.75
meat-sheep,cal,kcal/100g,266.97
meat-sheep,carb,g/100g,0.0
meat-sheep,fat,g/100g,21.59
meat-sheep,protein,g/100g,16.88
oat,cal,kcal/100g,389.1
oat,carb,g/100g,66.27
oat,fat,g/100g,6.9
oat,protein,g/100g,16.89
olive-oil,cal,kcal/100g,884.08
olive-oil,carb,g/100g,0.0
olive-oil,fat,g/100g,100.0
olive-oil,protein,g/100g,0.0
onion,cal,kcal/100g,39.67
onion,carb,g/100g,9.34
onion,fat,g/100g,0.1
onion,protein,g/100g,1.1
palm-oil,cal,kcal/100g,884.08
palm-oil,carb,g/100g,0.0
palm-oil,fat,g/100g,100.0
palm-oil,protein,g/100g,0.0
pearl-millet,cal,kcal/100g,378.11
pearl-millet,carb,g/100g,72.85
pearl-millet,fat,g/100g,4.22
pearl-millet,protein,g/100g,11.02
phaseolus-bean,cal,kcal/100g,336.52
phaseolus-bean,carb,g/100g,61.29
phaseolus-bean,fat,g/100g,1.06
phaseolus-bean,protein,g/100g,22.53
pigeon-pea,cal,kcal/100g,342.97
pigeon-pea,carb,g/100g,62.78
pigeon-pea,fat,g/100g,1.49
pigeon-pea,protein,g/100g,21.7
potato,cal,kcal/100g,76.96
potato,carb,g/100g,17.49
